Date;Price;Open;High;Low;Vol.;Change_%
Jan-17;1291.8;1232.4;1299.6;1232.4;0.05K;0.0464
Feb-17;1334.3;1289.;1323.9;1289.;0.05K;0.0329
Mar-17;1329.8;1307.6;1344.;1294.;0.09K;-0.0034
Apr-17;1347.1;1333.1;1378.;1333.1;0.01K;0.013
May-17;1348.5;1326.9;1340.;1303.2;0.06K;0.001
Jun-17;1314.;1342.8;1342.8;1313.7;0.01K;-0.0256
Jul-17;1340.7;1289.9;1323.6;1282.3;0.03K;0.0203
Aug-17;1388.5;1326.4;1393.7;1326.4;0.01K;0.0357
Sep-17;1357.6;1406.6;1406.6;1367.3;0.15K;-0.0223
Oct-17;1347.7;1353.3;1382.;1351.7;0.01K;-0.0073
Nov-17;1357.3;1382.;1382.;1382.;0.13K;0.0071
Dec-17;1391.9;1327.6;1372.1;1327.6;0.08K;0.0255
Jan-18;1439.4;1399.;1399.;1398.;0.00K;0.0341
Feb-18;1419.2;1419.2;1419.2;1419.2;9.63K;-0.014
Mar-18;1426.;1433.4;1433.4;1433.4;0.01K;0.0048
Apr-18;1419.1;1460.1;1460.1;1442.;0.02K;-0.0048
May-18;1395.;1413.5;1413.5;1405.3;0.10K;-0.017
Jun-18;1343.7;1392.4;1392.4;1353.7;0.03K;-0.0368
Jul-18;1309.8;1327.;1327.;1301.9;0.12K;-0.0252
Aug-18;1277.7;1308.;1308.;1265.8;0.07K;-0.0245
Sep-18;1268.7;1266.1;1271.9;1260.;0.10K;-0.007
Oct-18;1288.2;1271.2;1296.7;1271.2;0.12K;0.0154
Nov-18;1292.7;1289.7;1289.7;1289.7;0.15K;0.0035
Dec-18;1347.1;1313.9;1343.;1309.5;0.03K;0.0421
Jan-19;1384.;1351.8;1377.6;1351.8;0.28K;0.0274
Feb-19;1375.3;1382.6;1388.;1374.;0.30K;-0.0063
Mar-19;1350.4;1350.;1368.2;1342.2;0.19K;-0.0181
Apr-19;1340.4;1342.7;1363.9;1323.8;0.07K;-0.0074
May-19;1357.5;1334.2;1350.2;1320.1;0.03K;0.0128
Jun-19;1452.9;1373.1;1422.6;1373.1;0.02K;0.0703
Jul-19;1473.3;1444.5;1474.2;1444.5;0.04K;0.014
Aug-19;1563.1;1450.2;1582.4;1450.2;0.01K;0.061
Sep-19;1514.5;1575.8;1575.8;1536.7;0.03K;-0.0311
Oct-19;1556.9;1548.8;1556.7;1548.8;0.00K;0.028
Nov-19;1510.7;1534.7;1534.7;1534.7;0.00K;-0.0297
Dec-19;1567.6;1515.9;1544.2;1497.2;0.02K;0.0377
Jan-20;1626.1;1595.;1595.;1595.;0.00K;0.0373
Feb-20;1596.6;1606.;1707.4;1595.2;0.05K;-0.0181
Mar-20;1606.7;1485.;1503.;1485.;0.05K;0.0063
Apr-20;1713.2;1747.5;1779.1;1709.5;0.08K;0.0663
May-20;1776.8;1720.1;1795.4;1720.1;1.37K;0.0371
Jun-20;1836.5;1774.5;1835.;1727.5;0.00K;0.0336
Jul-20;2026.9;1830.;2035.;1830.;0.00K;0.1037
Aug-20;2009.5;2098.5;2121.7;1958.3;0.05K;-0.0086
Sep-20;1922.7;1962.;1980.;1919.4;0.02K;-0.0432
Oct-20;1908.3;1918.1;1939.9;1900.5;0.05K;-0.0075
Nov-20;1797.2;1920.9;1975.1;1788.;0.60K;-0.0582
Dec-20;1914.;1826.8;1913.9;1826.8;2.23K;0.065
Jan-21;1859.5;1934.7;1979.9;1825.5;7.23K;-0.0285
Feb-21;1740.9;1870.;1875.9;1730.;3.11K;-0.0638
Mar-21;1722.4;1759.5;1759.5;1686.1;5.31K;-0.0106
Apr-21;1775.7;1717.9;1804.5;1717.9;2.40K;0.0309
May-21;1911.;1784.6;1916.4;1783.8;12.86K;0.0762
Jun-21;1777.7;1915.;1922.8;1757.6;16.53K;-0.0698
Jul-21;1819.1;1776.;1840.3;1775.;49.84K;0.0233
Aug-21;1820.1;1818.6;1837.4;1680.;35.09K;0.0005
Sep-21;1758.5;1818.6;1838.7;1723.7;68.13K;-0.0338
Oct-21;1785.9;1759.1;1817.5;1747.9;107.65K;0.0156
Nov-21;1776.5;1786.8;1881.9;1761.;1.31M;-0.0053
Dec-21;1779.35;1775.15;1794.4;1762.3;-;0.0016
